order_id,user_id,product_id,quantity,amount,date,status
5000,428,P015,1,16546.71,2024-10-08,delivered
5002,117,P004,1,56571.5,2024-08-11,delivered
5004,213,P058,5,228458.6,2024-10-11,delivered
5005,489,P021,4,12974.2,2024-12-14,delivered
5006,180,P028,3,35857.86,2024-04-14,delivered
5007,295,P013,3,140609.43,2024-12-18,delivered
5009,141,P071,3,234528.66,2025-01-05,delivered
5010,461,P009,1,53137.98,2024-08-21,delivered
5011,141,P030,1,77212.98,2025-01-24,delivered
5012,333,P082,3,183019.74,2024-06-15,delivered
5013,282,P027,3,10265.01,2024-03-14,delivered
5015,295,P035,5,182168.55,2024-08-12,delivered
5016,532,P099,1,48315.54,2024-08-22,delivered
5017,513,P041,4,98814.4,2024-10-01,delivered
5019,303,P083,4,255381.24,2024-05-26,delivered
5021,560,P075,4,181618.4,2025-01-05,delivered
5022,171,P066,4,208534.04,2024-04-03,delivered
5025,371,P033,5,255828.4,2024-01-12,delivered
5026,450,P069,3,239859.48,2024-12-14,delivered
5027,251,P056,2,98931.98,2025-04-09,delivered
5028,589,P093,3,93437.37,2025-05-27,delivered
5029,360,P014,3,208424.64,2025-06-03,delivered
5030,179,P048,2,71111.28,2025-06-27,delivered
5031,407,P042,4,225615.96,2024-01-20,delivered
5032,576,P047,3,161522.73,2024-09-02,delivered
5034,518,P009,5,265689.9,2024-05-08,delivered
5035,438,P061,5,275965.95,2024-06-18,delivered
5036,371,P078,4,129563.24,2024-08-04,delivered
5038,561,P067,4,34467.12,2024-05-03,delivered
5039,216,P009,3,159413.94,2024-01-22,delivered
5040,402,P029,1,78931.75,2024-03-13,delivered
5041,218,P009,1,53137.98,2024-12-04,delivered
5042,364,P031,3,1484.1,2025-05-12,delivered
5043,377,P017,5,108264.95,2025-04-29,delivered
5044,502,P061,4,220772.76,2024-07-13,delivered
5046,311,P060,1,74482.8,2024-04-10,delivered
5047,307,P094,3,107851.86,2024-04-21,delivered
5048,199,P025,5,126804.35,2025-04-04,delivered
5049,317,P024,3,224149.83,2025-04-18,delivered
5050,548,P010,4,152092.04,2024-04-10,delivered
5051,434,P070,1,3952.14,2024-04-05,delivered
5052,186,P053,4,302298.72,2025-05-07,delivered
5054,102,P050,3,42762.81,2025-04-10,delivered
5055,317,P090,5,146901.4,2025-05-13,delivered
5056,198,P038,2,106764.9,2024-02-29,delivered
5058,358,P068,2,105323.68,2024-02-28,delivered
5059,536,P024,1,74716.61,2024-03-10,delivered
5060,307,P016,5,45211.9,2024-09-09,delivered
5061,418,P011,4,270196.88,2025-06-19,delivered
5062,579,P034,2,138893.34,2024-11-17,delivered
5065,419,P073,1,69673.2,2024-03-16,delivered
5066,360,P034,2,138893.34,2024-12-23,delivered
5067,551,P032,3,228449.28,2024-10-18,delivered
5068,325,P070,3,11856.42,2025-06-25,delivered
5069,442,P071,3,234528.66,2024-04-16,delivered
