user_id,recommendations,n_recs,similarity_score
428,"P087, P063, P074, P007, P054",5,0.3561
117,"P006, P010, P025, P082, P057",5,0.3971
213,"P017, P094, P025, P064, P014",5,0.4024
489,"P070, P016, P052, P024, P026",5,0.4294
180,"P040, P041, P066, P033, P063",5,0.3994
295,"P094, P078, P067, P066, P001",5,0.3801
141,"P005, P028, P054, P011, P025",5,0.4041
461,"P003, P078, P010, P031, P059",5,0.3287
333,"P061, P009, P088, P051, P052",5,0.3693
282,"P053, P002, P045, P078, P038",5,0.4097
532,"P077, P035, P024, P087, P036",5,0.3941
513,"P013, P017, P004, P051, P003",5,0.3627
303,"P017, P065, P072, P025, P096",5,0.4418
560,"P071, P067, P007, P017, P018",5,0.43
171,"P050, P011, P071, P004, P095",5,0.3641
371,"P023, P041, P074, P005, P030",5,0.3875
450,"P015, P082, P013, P001, P095",5,0.389
251,"P066, P049, P046, P047, P013",5,0.4087
589,"P094, P078, P029, P076, P077",5,0.3973
360,"P007, P053, P095, P083, P078",5,0.4534
