user_id,buy_probability,prediction,confidence,reason_1,reason_2,reason_3,plain_english
101,0.021,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Your basket size is small,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Your basket size is small.
102,0.054,May Not Buy,High,You have not shopped recently,You buy in larger quantities,Your high spending pattern,This customer is may not purchase soon. Key factors: You have not shopped recently; You buy in larger quantities; Your high spending pattern.
103,0.011,May Not Buy,High,You have not shopped recently,Your basket size is small,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your basket size is small; You buy fewer items per visit.
104,0.0,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Limited product browsing detected,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Limited product browsing detected.
105,0.021,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Limited product browsing detected,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Limited product browsing detected.
106,0.001,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Low cart activity observed.
107,0.019,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Limited product browsing detected,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Limited product browsing detected.
108,0.938,Will Buy,High,Your recent activity on our platform,Your purchase rate has slowed,Your large average basket size,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your purchase rate has slowed; Your large average basket size.
109,0.011,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Low cart activity observed,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Low cart activity observed.
110,0.032,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,Your spending is currently low,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; Your spending is currently low.
111,0.015,May Not Buy,High,You have not shopped recently,Limited product browsing detected,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Limited product browsing detected; You buy fewer items per visit.
112,0.956,Will Buy,High,Your recent activity on our platform,You buy in larger quantities,Your basket size is small,This customer is likely to purchase. Key factors: Your recent activity on our platform; You buy in larger quantities; Your basket size is small.
113,0.976,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,You shop frequently with us,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; You shop frequently with us.
114,0.006,May Not Buy,High,You have not shopped recently,Your purchase rate has slowed,You buy fewer items per visit,This customer is may not purchase soon. Key factors: You have not shopped recently; Your purchase rate has slowed; You buy fewer items per visit.
115,0.987,Will Buy,High,Your recent activity on our platform,Your consistent purchase habits,Your high spending pattern,This customer is likely to purchase. Key factors: Your recent activity on our platform; Your consistent purchase habits; Your high spending pattern.
