user_id,age,gender,location,signup_date
101,56,M,Madurai,2024-02-04
102,46,M,Pune,2024-05-10
103,32,M,Coimbatore,2024-04-17
104,60,M,Chennai,2024-06-20
105,25,M,Salem,2024-06-27
106,38,F,Delhi,2024-04-11
107,56,M,Chennai,2024-04-07
108,36,M,Coimbatore,2024-01-12
109,40,M,Chennai,2024-01-19
110,28,F,Mumbai,2024-04-10
111,28,F,Delhi,2024-02-13
112,41,M,Coimbatore,2024-02-18
113,53,F,Pune,2024-01-17
114,57,M,Salem,2024-03-14
115,41,M,Kolkata,2024-02-26
116,20,F,Coimbatore,2024-02-24
117,39,M,Bangalore,2024-02-16
118,19,F,Salem,2024-01-12
119,41,F,Coimbatore,2024-03-02
120,61,M,Mumbai,2024-03-20
121,47,M,Kolkata,2024-03-23
122,55,F,Mumbai,2024-01-08
123,19,M,Kolkata,2024-05-28
124,38,M,Bangalore,2024-03-21
125,50,M,Salem,2024-04-27
126,29,F,Pune,2024-01-25
127,39,F,Mumbai,2024-03-29
128,61,M,Mumbai,2024-01-12
129,42,F,Madurai,2024-05-22
130,44,F,Kolkata,2024-02-28
131,59,F,Hyderabad,2024-06-02
132,45,F,Salem,2024-04-18
133,33,F,Kolkata,2024-01-26
134,32,M,Madurai,2024-02-16
135,64,M,Chennai,2024-02-01
136,61,M,Kolkata,2024-01-10
137,20,F,Pune,2024-01-16
138,54,F,Salem,2024-05-24
139,24,M,Madurai,2024-05-30
140,38,F,Chennai,2024-01-26
141,26,M,Delhi,2024-03-26
142,56,M,Madurai,2024-05-14
143,35,M,Delhi,2024-01-14
144,21,F,Salem,2024-03-19
145,42,F,Mumbai,2024-04-26
146,31,M,Madurai,2024-01-07
147,26,M,Bangalore,2024-05-16
148,43,M,Delhi,2024-04-24
149,19,M,Pune,2024-06-24
150,37,F,Bangalore,2024-03-12
151,45,F,Coimbatore,2024-02-28
152,64,M,Coimbatore,2024-03-22
153,24,M,Chennai,2024-04-25
154,61,F,Mumbai,2024-06-15
155,25,F,Salem,2024-05-25
156,64,M,Madurai,2024-04-12
157,52,M,Hyderabad,2024-01-17
158,31,M,Pune,2024-01-14
159,34,F,Delhi,2024-06-07
160,53,F,Salem,2024-05-31
161,57,F,Bangalore,2024-04-17
162,21,M,Coimbatore,2024-02-14
163,19,M,Pune,2024-04-07
164,23,F,Hyderabad,2024-05-10
