product_id,name,category,price,brand,stock
P001,Product 1,Books,34527.91,Sony,118
P002,Product 2,Books,19972.27,Nike,148
P003,Product 3,Books,49409.88,HP,464
P004,Product 4,Beauty,56571.5,Apple,149
P005,Product 5,Books,13446.65,LG,431
P006,Product 6,Books,13492.78,Sony,292
P007,Product 7,Toys,3030.05,Levi's,142
P008,Product 8,Fashion,58938.52,Nike,418
P009,Product 9,Electronics,53137.98,Boat,475
P010,Product 10,Home,38023.01,LG,454
P011,Product 11,Toys,67549.22,Sony,159
P012,Product 12,Electronics,64473.05,HP,10
P013,Product 13,Books,46869.81,LG,137
P014,Product 14,Fashion,69474.88,Nike,456
P015,Product 15,Sports,16546.71,LG,77
P016,Product 16,Fashion,9042.38,Puma,76
P017,Product 17,Toys,21652.99,Prestige,440
P018,Product 18,Books,4661.24,Boat,253
P019,Product 19,Fashion,42540.45,Nike,408
P020,Product 20,Grocery,74934.79,LG,257
P021,Product 21,Fashion,3243.55,Prestige,319
P022,Product 22,Books,9856.58,Prestige,290
P023,Product 23,Beauty,36230.7,LG,262
P024,Product 24,Grocery,74716.61,HP,84
P025,Product 25,Fashion,25360.87,Puma,145
P026,Product 26,Home,40628.06,Apple,322
P027,Product 27,Home,3421.67,Puma,41
P028,Product 28,Fashion,11952.62,LG,373
P029,Product 29,Beauty,78931.75,Boat,124
P030,Product 30,Sports,77212.98,Apple,166
P031,Product 31,Books,494.7,Nike,424
P032,Product 32,Home,76149.76,Puma,240
P033,Product 33,Sports,51165.68,LG,458
P034,Product 34,Fashion,69446.67,Puma,486
P035,Product 35,Toys,36433.71,Apple,279
P036,Product 36,Sports,41296.12,Levi's,187
P037,Product 37,Grocery,39158.84,Sony,301
P038,Product 38,Electronics,53382.45,Puma,18
P039,Product 39,Home,11258.14,Nike,67
P040,Product 40,Fashion,2494.89,Nike,217
P041,Product 41,Toys,24703.6,Samsung,101
P042,Product 42,Books,56403.99,Puma,41
P043,Product 43,Toys,16228.09,Sony,287
P044,Product 44,Beauty,53907.25,HP,166
P045,Product 45,Grocery,77595.97,Prestige,108
P046,Product 46,Fashion,7602.67,Sony,493
P047,Product 47,Books,53840.91,Prestige,35
P048,Product 48,Beauty,35555.64,Prestige,231
P049,Product 49,Beauty,69464.57,Levi's,228
P050,Product 50,Fashion,14254.27,Samsung,352
P051,Product 51,Grocery,55440.81,Sony,163
P052,Product 52,Sports,67065.41,Sony,386
P053,Product 53,Sports,75574.68,Levi's,72
P054,Product 54,Beauty,54691.52,Puma,135
P055,Product 55,Sports,39824.26,Puma,352
P056,Product 56,Electronics,49465.99,Puma,378
P057,Product 57,Beauty,69525.51,Boat,69
P058,Product 58,Beauty,45691.72,Prestige,424
P059,Product 59,Books,2527.93,Boat,486
P060,Product 60,Sports,74482.8,Samsung,195
P061,Product 61,Grocery,55193.19,Levi's,268
P062,Product 62,Beauty,54153.42,Sony,48
P063,Product 63,Toys,17332.44,Prestige,315
P064,Product 64,Grocery,52744.95,Boat,129
P065,Product 65,Electronics,31569.77,Boat,443
P066,Product 66,Books,52133.51,LG,4
P067,Product 67,Fashion,8616.78,Boat,427
P068,Product 68,Grocery,52661.84,HP,26
P069,Product 69,Beauty,79953.16,Sony,159
P070,Product 70,Electronics,3952.14,HP,148
P071,Product 71,Home,78176.22,Sony,263
P072,Product 72,Electronics,32611.95,Levi's,229
P073,Product 73,Electronics,69673.2,Sony,199
P074,Product 74,Books,62612.6,HP,49
P075,Product 75,Fashion,45404.6,Sony,66
P076,Product 76,Home,59102.09,Levi's,299
P077,Product 77,Sports,70293.39,Levi's,380
P078,Product 78,Sports,32390.81,Samsung,57
P079,Product 79,Grocery,26229.95,Sony,258
P080,Product 80,Electronics,53440.71,LG,341
P081,Product 81,Toys,64646.89,Puma,325
P082,Product 82,Books,61006.58,Nike,129
P083,Product 83,Toys,63845.31,Levi's,214
P084,Product 84,Books,34903.11,Apple,171
P085,Product 85,Sports,65444.95,Puma,257
P086,Product 86,Grocery,9704.7,Prestige,101
P087,Product 87,Grocery,43604.68,Sony,208
P088,Product 88,Grocery,560.12,HP,290
P089,Product 89,Home,26034.41,Nike,353
P090,Product 90,Fashion,29380.28,Apple,470
P091,Product 91,Home,31754.2,Puma,285
P092,Product 92,Beauty,55667.83,Sony,115
P093,Product 93,Beauty,31145.79,Samsung,263
P094,Product 94,Toys,35950.62,Prestige,149
P095,Product 95,Fashion,19079.78,Nike,299
P096,Product 96,Sports,29922.82,LG,441
P097,Product 97,Fashion,18258.84,Samsung,35
P098,Product 98,Books,5948.35,Apple,452
P099,Product 99,Beauty,48315.54,Nike,332
P100,Product 100,Electronics,53490.2,Samsung,476
