user_id,product_id,viewed,carted,time_spent_sec,date
572,P018,1,1,237,2025-06-09
329,P077,1,0,11,2024-06-01
593,P051,1,0,44,2025-06-27
278,P065,1,0,518,2024-09-25
453,P042,1,0,488,2024-08-20
505,P046,1,1,207,2025-02-25
260,P021,1,0,362,2025-04-10
109,P002,1,0,99,2024-06-12
418,P013,1,1,152,2024-12-05
155,P071,1,0,438,2024-03-12
422,P023,1,1,345,2024-12-20
390,P003,1,0,417,2024-04-27
553,P005,1,0,485,2024-06-26
213,P008,1,0,446,2025-02-22
113,P007,1,0,140,2024-09-05
368,P019,1,0,98,2024-01-31
146,P093,1,1,189,2024-07-24
563,P017,1,1,447,2024-03-11
280,P012,1,0,40,2024-09-27
585,P069,1,1,393,2024-01-12
355,P095,1,0,455,2024-11-28
215,P099,1,1,274,2024-11-15
296,P093,1,0,322,2024-06-30
558,P019,1,0,439,2024-08-12
537,P082,1,0,402,2024-01-26
155,P080,1,0,350,2024-08-30
104,P047,1,0,219,2024-11-12
352,P020,1,0,250,2024-12-24
386,P054,1,0,512,2025-02-23
374,P022,1,0,335,2024-04-13
484,P087,1,0,479,2024-07-06
302,P058,1,0,531,2025-02-05
534,P054,1,1,406,2024-12-25
578,P090,1,0,166,2024-05-13
242,P010,1,1,462,2025-02-22
537,P070,1,0,532,2024-10-03
505,P080,1,0,494,2025-04-23
525,P011,1,1,173,2024-03-02
428,P027,1,0,25,2024-02-07
312,P014,1,1,320,2025-05-27
390,P062,1,0,159,2024-05-08
221,P041,1,0,224,2024-11-10
128,P040,1,1,439,2025-01-22
381,P020,1,0,164,2024-03-29
273,P082,1,0,268,2024-12-30
184,P046,1,0,598,2024-06-25
109,P052,1,1,293,2024-10-16
430,P012,1,0,113,2025-05-19
497,P026,1,1,573,2024-03-23
372,P019,1,0,265,2024-01-03
539,P086,1,0,249,2024-11-10
216,P044,1,1,304,2025-05-27
548,P065,1,0,76,2025-06-24
365,P036,1,1,439,2024-01-24
308,P052,1,0,28,2024-12-21
534,P013,1,0,54,2024-07-05
147,P021,1,0,328,2024-07-19
437,P096,1,0,94,2024-07-09
227,P004,1,0,421,2024-02-22
260,P079,1,1,550,2025-03-10
103,P031,1,0,155,2024-04-12
466,P094,1,1,527,2025-01-29
128,P008,1,0,177,2024-03-04
458,P026,1,0,467,2024-02-20
142,P012,1,0,43,2024-01-14
208,P039,1,0,129,2024-09-03
155,P097,1,1,518,2024-04-11
402,P060,1,1,578,2025-02-28
124,P100,1,1,117,2025-02-01
553,P020,1,0,62,2025-06-03
233,P013,1,1,301,2025-04-22
521,P068,1,0,383,2024-01-10
422,P016,1,0,220,2025-03-24
275,P029,1,0,552,2024-06-18
462,P016,1,0,493,2024-06-19
386,P068,1,1,464,2025-06-19
482,P001,1,0,150,2025-04-24
407,P098,1,0,242,2025-04-24
158,P054,1,0,446,2024-01-29
383,P089,1,1,123,2025-04-26
600,P020,1,0,217,2025-01-28
229,P062,1,0,133,2024-07-21
349,P044,1,0,51,2025-04-03
550,P054,1,1,118,2024-01-08
194,P037,1,1,25,2025-01-10
502,P046,1,0,522,2024-02-02
108,P022,1,1,273,2024-10-27
200,P099,1,0,228,2025-02-08
594,P024,1,0,134,2025-02-04
400,P005,1,0,401,2024-12-26
534,P059,1,0,417,2025-04-28
111,P050,1,0,375,2024-03-08
324,P080,1,1,131,2024-09-08
396,P047,1,1,155,2024-04-01
265,P008,1,1,128,2025-02-20
559,P039,1,0,407,2024-03-15
103,P062,1,0,232,2024-07-21
287,P006,1,1,545,2024-09-21
558,P021,1,0,226,2024-04-25
418,P069,1,0,150,2024-10-22
378,P038,1,1,77,2024-08-13
113,P002,1,0,119,2025-03-11
408,P010,1,0,333,2024-08-22
124,P019,1,0,387,2024-03-13
294,P061,1,1,383,2025-02-01
458,P038,1,0,260,2024-08-24
442,P079,1,0,248,2024-11-13
382,P012,1,0,13,2024-11-29
109,P016,1,0,520,2025-03-06
233,P099,1,0,512,2025-06-01
520,P075,1,0,135,2024-11-23
342,P032,1,1,355,2024-11-24
482,P098,1,0,150,2024-03-19
564,P058,1,0,347,2024-04-10
169,P030,1,1,391,2025-05-24
360,P013,1,0,380,2024-09-22
180,P049,1,1,56,2025-04-17
183,P030,1,1,402,2024-01-20
179,P038,1,0,455,2025-01-13
496,P036,1,0,483,2025-04-24
173,P005,1,0,76,2025-03-28
153,P004,1,0,218,2024-03-03
524,P065,1,0,135,2025-01-05
297,P034,1,1,502,2025-06-28
429,P097,1,0,502,2024-03-03
211,P013,1,0,335,2024-11-10
217,P068,1,0,200,2025-03-28
252,P010,1,0,525,2024-11-28
462,P059,1,1,195,2025-01-27
126,P021,1,1,186,2024-12-06
233,P099,1,0,550,2025-02-16
176,P058,1,0,578,2025-06-12
527,P039,1,0,469,2025-03-02
320,P033,1,0,20,2025-04-01
